Junction,Expected size (bp),Confirmed sequence
5',1870,"yes, but evidence of duplication"
3',1474,"yes, but evidence of duplication"
WT internal,722,"yes, but evidence of duplication"
Full junctional allele,Tagged:2923;untagged:2208,cannot be amplified due to likely duplication
